Name,Type,Move Power,Move Time,PP,Duration,Range,Description,Dmg lvl 1,Dmg lvl 5,Dmg lvl 10,Dmg lvl 17
False Swipe,Normal,STR/DEX,1 action,20,Instantaneous,Melee,"You swipe at an opponent but hold back power slightly. Make a melee attack against an opponent, doing 1d6 + MOVE normal damage on a hit. If this attack would normally cause an opponent to faint, it is reduced to 1HP instead.",1d6+Move,1d12+Move,2d8+Move,4d6+Move
Feather Dance,Flying,DEX/CHA,1 action,10,"1 minute, Concentration",50ft,"You distract an opponent in range with a beautiful dance. The target must make a WIS saving throw against your Move DC. On a fail, the target cannot add proficiency to its attack rolls for the duration.",,,,
Feint,Normal,DEX,1 action,5,Instantaneous,Melee,"You fake out an opponent before you strike. Make a melee attack against a target, dealing 1d6 + MOVE normal damage on a hit. If an opponent attempts to use a Protect or Detect reaction against the damage, it fails.",1d6+Move,1d10+Move,2d8+Move,5d4+Move
Feint Attack,Dark,STR/DEX/CHA,1 action,10,Instantaneous,Melee,"You bring an opponent close and hit it with a sucker punch. Make a melee attack on an opponent, always with advantage, doing 1d10 + MOVE dark damage on a hit.",1d10+Move,2d8+Move,5d4+Move,4d8+Move
Fell Stinger,Bug,STR/DEX,1 action,10,Instantaneous,Melee,"You lunge at an opponent with a devastating sting attack. Make a melee attack on an opponent, dealing 1d8 + MOVE bug damage on a hit. If this attack causes the opponent to faint, double your ability modifier to hit and deal damage on your next turn.",1d8+Move,2d6+Move,4d4+Move,3d10+Move
Fiery Dance,Fire,DEX/CHA,1 action,5,Instantaneous,15ft circle,"You dance and flap your wings, sending flames in a 15 foot circle, centered on you. Anyone caught in the blaze must make a DEX save against your Move DC, taking 2d6 + MOVE fire damage on a failure, or half as much on a success. If a creature fails the save by more than 5, double the MOVE modifier when adding damage",2d6+Move,2d8+Move,4d6+Move,6d6+Move
Final Gambit,Fighting,STR,1 action,3,Instantaneous,30ft,"You risk everything and use your own life force to damage an opponent in range. When you activate this move, you faint, and force a target in range to make a CON save against your Move DC. The target takes an amount of fighting damage equal to your remaining HP on a failure, or half as much on a success",,,,
Fire Blast,Fire,STR/DEX,1 action,3,Instantaneous,40ft,"Two pillars of raging hot flames explode out from you and leap towards up to two creature in range. The creature(s) targeted must succeed on a DEX save against your Move DC, taking 3d6 + MOVE fire damage on a failure, or half as much on a success. Creatures that fail the save by more than 5 become burned.",3d6+Move,3d8+Move,6d6+Move,7d8+Move
Fire Fang,Fire,STR/DEX,1 action,10,Instantaneous,Melee,"You attempt to pierce an opponent with flame-cloaked fangs. Make a melee attack, dealing 1d10 + MOVE fire damage on a hit. On a natural attack roll of 19 or 20, the target is burned and flinches.",1d10+Move,2d8+Move,5d4+Move,4d8+Move
Fire Pledge,Fire,STR,1 action,5,Instantaneous,40ft,"You send a plume of flame towards an opponent. Make a ranged attack, dealing 2d6 + MOVE fire damage on a hit. After you land a hit, any ally that uses another Pledge move in the same round automatically hits.",2d6+Move,2d8+Move,4d6+Move,6d6+Move
Fire Punch,Fire,STR/DEX,1 action,10,Instantaneous,Melee,"You strike out with fire-infused fists. Make a melee attack roll, doing 1d12 + MOVE fire damage on a hit. On a natural attack roll of 19 or 20, the target is burned.",1d12+Move,2d8+Move,2d12+Move,6d6+Move
Fire Spin,Fire,DEX,1 action,10,"3 turns, Concentration",40ft,"You release a series of moving flames that dance around a target. Make a ranged attack roll, doing 1d6 + MOVE fire damage on a hit. As long as you maintain concentration, the target takes an additional 1d6 fire damage at the end of each of its next three turns.",1d6+Move,1d10+Move,2d8+Move,5d4+Move
Fissure,Ground,None,1 action,3,Instantaneous,100ft,"You crack open the ground with devastating force. Choose a target in range and roll a d20. On a 20, the target falls into the crack and vanished into the abyss. On any other roll, or if targeting a flying creature, this move has no effect. The area in a 20 foot radius around the target becomes difficult terrain. If the target's level is 10 more than your own, this move automatically fails.",,,,
Flail,Normal,STR/DEX,1 action,10,Instantaneous,Melee,"You flail about with a wild strike that increases in power the more injured you are. Make a melee attack roll against an opponent, doing 1d6 + MOVE normal damage on a hit. If you are below 50% of your maximum health, double the damage. If you are at 10% or below of your maximum health, triple the damage. The multiplier for this attack occurs before the multiplier for resistances or vulnerabilities.",1d6+Move,1d10+Move,2d8+Move,5d4+Move
Flame Burst,Fire,STR/DEX,1 action,10,Instantaneous,40ft,"You release a fireball that explodes on contact. Choose a point in range. Any creature within 5 feet of that point must make a DEX save against your Move DC, taking 1d12 + MOVE fire damage on a hit, or half as much on a success.",1d12+Move,2d8+Move,2d12+Move,6d6+Move
Flame Charge,Fire,STR/DEX,1 action,10,Instantaneous,Melee,"You cloak yourself with flame and lash out at an opponent. Make a melee attack, dealing 1d8 + MOVE fire damage on a hit. With each successful hit from this move, increase your movement speed by 5 until you are incapacitated, are switched out, or the combat ends. (Maximum of +30 to movement speed)",1d8+Move,2d6+Move,4d4+Move,3d10+Move
Flame Wheel,Fire,STR/DEX,1 action,15,Instantaneous,10ft,"A wheel of flame explodes out from you in a 10 foot radius. All creature in the area must succeed on a DEX save against your Move DC, taking 1d10 + MOVE fire damage on a fail and half as much on a save. If the user is frozen, this move can still be used, thawing out the creature during the attack",1d10+Move,2d8+Move,5d4+Move,4d8+Move
Flamethrower,Fire,STR/DEX,1 action,10,Instantaneous,40ft cone,"You shoot a concentrated gout of flame in an 40 foot cone. Any creature caught in the cone must succeed on a DEX save against your Move DC, taking 2d8 + MOVE fire damage on a failure, or half damage on a success. Any creature that fails the save by more than 5 becomes burned.",2d8+Move,2d10+Move,3d10+Move,4d12+Move
Flare Blitz,Fire,STR/DEX,1 action,10,Instantaneous,Melee,"You cloak yourself in fire and charge at an opponent with serious damage. Make a melee attack against an opponent, dealing 2d10 + MOVE fire damage on a hit. On a hit, you take half the damage dealt in normal-type recoil damage. On a natural attack roll of 19 or 20, the target is burned. If the user is frozen, this move can still be used, thawing out the creature during the attack",2d10+Move,3d8+Move,4d10+Move,7d8+Move
Flash,Normal,CON,1 action,10,Instantaneous,20ft,"You emit an immense flash of light in a 20 foot radius circle, centered on you. Creatures in the area must make a CON save against your Move DC. On a fail, they are blinded until the end of their next turn. Outside of combat, this move can be used to light a dim area, much like the ""Light"" cantrip.",,,,
Flash Cannon,Steel,STR/DEX,1 action,5,Instantaneous,60ft,"You gather energy from the light around you and send a concentrated beam towards an opponent in range. Make a ranged attack, dealing 2d6 + MOVE steel damage on a hit. On a natural attack roll of 19 or 20, the next attack against the opponent is rolled at advantage.",2d6+Move,2d8+Move,4d6+Move,6d6+Move
Flatter,Dark,None,1 action,10,Instantaneous,30ft,"You send mixed signals to an opponent. Select a target in range. They become confused, but during this confusion, they double their proficiency bonus when making attack rolls.",,,,
Fling,Dark,STR/DEX,1 action,5,Instantaneous,60ft,"You sacrifice your held item to throw it an opponent. Make a ranged attack. On a hit, the amount of dark damage dealt is equal to the price of the item in the manual, divided by 100 (rounded down), plus STAB (if applicable). After activating this move, on a hit or miss, the item disappears.",,,,
Flower Shield,Fairy,None,1 action,5,"1 minute, Concentration",15ft,"Large flowers sprout from any grass-type allies in range, boosting their defense. For one minute, as long as you keep your concentration, grass-type allies in a 15 foot circle, centered on you, gain +2 to their AC.",,,,
Fly,Flying,STR/DEX,1 action,10,Instantaneous,50ft,"You fly high into the air to prepare for a dive bomb attack. When you activate this move, you flap your wings and disappear into the Ethereal plane above you. You cannot be targeted by attacks while you are in the Ethereal plane. On your next turn, you use your action to reappear and make a diving melee attack on a creature in range, with advantage, dealing 2d8 + MOVE flying damage on a successful hit.",2d8+Move,2d10+Move,3d10+Move,4d12+Move
Flying Press,Fighting/Flying,STR/DEX,1 action,5,Instantaneous,Melee,"You dive at an opponent with quick reaction speed, able to change the type of attack when you reach them. Make a melee attack against a target, dealing 4d4 + MOVE flying OR fighting damage, depending on your choice. STAB can only added to this move if its type is fighting.",4d4+Move,2d12+Move,4d8+Move,8d6+Move
Focus Blast,Fighting,STR/DEX,1 action,3,Instantaneous,60ft,"You heighten your focus and unleash it upon an opponent. Make a ranged attack, dealing 2d10 + MOVE fighting damage on a hit. On a natural attack roll of 19 or 20, the next attack against the opponent is rolled at advantage.",2d10+Move,3d8+Move,4d10+Move,7d8+Move
Focus Energy,Normal,None,1 action,15,1 minute,Self,"You sacrifice your action to focus in on the energy inside you. For the duration, increase your critical range by 1 (From 20 to 19+ , from 19+ to 18+, etc.). This move is stackable up to a maximum of +5 to the critical hit range (15+).",,,,
Focus Punch,Fighting,STR/DEX,1 action,10,"1 round, Concentration",Melee,"When activating this move, you spend your action focusing your next attack. If you keep concentration, as an action on your next turn, make an attack roll against an opponent, doing 3d8 + MOVE fighting damage on a hit.",3d8+Move,5d6+Move,4d12+Move,8d8+Move
Follow Me,Normal,None,1 action,10,1 round,50ft,You entice all enemies to attack you. All ranged and melee attacks by any opponent in range must target you until the beginning of your next turn.,,,,
Force Palm,Fighting,STR,1 action,5,Instantaneous,30ft,"You thrust your palm outward with such strength that a shockwave is sent towards an opponent. Make a ranged attack, dealing 1d10 + MOVE fighting damage on a hit. On a natural attack roll of 16 or higher, the target is paralyzed.",1d10+Move,2d8+Move,5d4+Move,4d8+Move
Foresight,Normal,WIS,1 action,20,1 minute,50ft,"Force a target in range to make a WIS saving throw against your Move DC. On a fail, add +2 to all attack rolls you make against the opponent for the duration. Regardless of the saving throw, for the remainder of combat, any of your fighting or normal moves can hit a ghost type creature. If you are a ghost type, your ghost moves can now hit normal type creatures.",,,,
Forest's Curse,Grass,CON/WIS,1 action,5,3 rounds,30ft,"You summon the energy of the forest to change the type of another creature. Force an opponent in range to make a CON save against your Move DC. On a failure, its type is changed to Grass for the duration.",,,,
Foul Play,Dark,STR/WIS,1 action,10,Instantaneous,Melee,"You turn an opponent's own power against it. Make a melee attack roll using your MOVE power. On a hit, the target takes 2d8 + MOVE dark damage using their own MOVE power.",2d8+Move,2d10+Move,3d10+Move,4d12+Move
Freeze Shock,Ice,DEX,"1 action, charge",3,"1 round, Concentration",50ft,"When you use this move, you charge up a ball of rock-hard ice. On your next turn’s action, if you keep your concentration, you fire your electrically charged ice at an opponent. Make a ranged attack roll, dealing 3d8 + MOVE ice damage on a hit. On natural attack rolls of 15 or more, the target is paralyzed.",3d8+Move,5d6+Move,4d12+Move,8d8+Move
Freeze-Dry,Ice,STR/DEX,1 action,10,Instantaneous,20ft,"You unleash a freezing cold air that rapidly chills a creature in range. Make a ranged attack on an opponent, dealing 1d12 + MOVE ice damage on a hit. On a natural attack roll of 19 or 20, the target is frozen. This move deals super effective damage to water-type creatures.",1d12+Move,2d8+Move,2d12+Move,6d6+Move
Frenzy Plant,Grass,DEX,"1 action, recharge",3,Instantaneous,15ft circle,"You summon a whirlwind of jagged branches and razor sharp leaves that batter all opponents in a 15 foot circle, centered on you. All opponent caught in the flurry must make a DEX saving throw against your Move DC, taking 3d8 + MOVE grass damage on a failure, and half as much on a success. This move saps you of energy, and may not make any attack until after the end of your next turn.",3d8+Move,5d6+Move,4d12+Move,8d8+Move
Frost Breath,Ice,CON/DEX,1 action,5,Instantaneous,15ft,"You blow a gust of freezing cold air at an opponent in range. Make a melee attack roll, dealing 1d12 + MOVE ice damage on a hit.",1d12+Move,2d8+Move,2d12+Move,6d6+Move
Frustration,Normal,STR,1 action,10,Instantaneous,Melee,"You lash out at an opponent, venting your frustration at your trainer. Make a melee attack roll against an opponent, doing 1d6 + MOVE normal damage on a hit. When you make this attack, add an additional bonus to hit and damage equal to the number of levels you are below zero on the Loyalty Chart.",1d6+Move,1d10+Move,2d8+Move,5d4+Move
Fury Attack,Normal,STR/DEX,1 action,10,Instantaneous,Melee,"You reach out and unleash relentless strikes against a creature. Make a melee attack roll, doing 1d4 + MOVE normal damage on a hit. After successfully hitting a target, roll a d4. On a result of 3 or 4, you may immediately hit again for an additional 1d4 normal damage. Continue this process until you fail to roll a 3 or 4 on the d4 roll, up to a maximum of four additional hits.",1d4+Move,1d6+Move,1d8+Move,2d6+Move
Fury Cutter,Bug,STR/DEX,1 action,10,Instantaneous,Melee,"You unleash series of cuts against a creature that increase in strength. When you activate this move, make a melee attack on a target in range, doing 1d4 + MOVE bug damage on a hit. If you continue to use this move on consecutive turns, double the dice roll for damage each time you hit. The multiplier maxes out at 8x the original damage. The damage resets if any of the attacks miss, or if you are incapacitated.",1d4+Move,1d6+Move,2d4+Move,2d6+Move
Fury Swipes,Normal,STR/DEX,1 action,10,Instantaneous,Melee,"You reach out and unleash relentless claw attacks against a creature. Make a melee attack roll, doing 1d4 + MOVE normal damage on a hit. After successfully hitting a target, roll a d4. On a result of 3 or 4, you may immediately hit again for an additional 1d4 normal damage. Continue this process until you fail to roll a 3 or 4 on the d4 roll, up to a maximum of four additional hits.",1d4+Move,1d6+Move,1d8+Move,2d6+Move
Fusion Bolt,Electric,STR,1 action,3,Instantaneous,100ft,"You summon a gigantic lightning bolt that strikes down from the heavens in a 30 foot circle, centered on a point within range. All creatures caught in the blast must make a DEX save against your Move DC, taking 4d4 + MOVE electric damage on a failure, or half as much on a success. If Fusion Bolt was already used this round, double the damage dealt.",4d4+Move,2d12+Move,4d8+Move,8d6+Move
Fusion Flare,Fire,STR,1 action,3,Instantaneous,100ft,"You summon a gigantic fireball that strikes down from the heavens in a 30 foot circle, centered on a point within range. All creatures caught in the blast must make a DEX save against your Move DC, taking 4d4 + MOVE fire damage on a failure, or half as much on a success. If Fusion Flare was already used this round, double the damage dealt. Fusion Flare may be used to thaw out the user from the frozen status before attacking.",4d4+Move,2d12+Move,4d8+Move,8d6+Move
Future Sight,Psychic,DEX/WIS,1 action,10,"3 rounds, Concentration",30ft,"You save an attack to unleash at a later time. When you activate this move, you may choose to attack on this turn, or delay the attack. You may use the attack as a free action at any time during the next three rounds. When you make the attack, make a ranged attack roll, dealing 2d10 + MOVE psychic damage on a hit.",2d10+Move,3d8+Move,4d10+Move,7d8+Move
Gastro Acid,Poison,DEX/CON,1 action,5,1 minute,20ft,"You hurl stomach acid towards a foe. Make a ranged attack. On a hit, the target is covered in the disgusting substance and cannot benefit from the effect of any of its abilities for the duration.",,,,
Gear Grind,Steel,STR/DEX,1 action,10,Instantaneous,40ft,"You send a pair of steel gears at a target(s) in range. Make two ranged attacks, dealing 1d8 + MOVE steel damage with each hit.",1d8+Move,2d6+Move,4d4+Move,3d10+Move
Geomancy,Fairy,None,"1 action, charge",5,"1 round, Concentration",Self,"You spend time to absorb the natural energy around you, sharply increasing your effect in battle. When you activate this move, you charge your energy and your turn is over. At the beginning of your next turn, for one round, your speed increases by 10 feet, and all of your attacks and saving throws are rolled with advantage.",,,,
Giga Drain,Grass,STR/DEX,1 action,5,Instantaneous,50ft,"You attempt to drain the life force of a target. Make a ranged attack on a target, doing 2d6 + MOVE grass damage on a hit. Half of the damage dealt is restored to the user.",1d12+Move,2d8+Move,2d12+Move,6d6+Move
Giga Impact,Normal,STR,"1 action, recharge",3,Instantaneous,Melee,"You charge at an opponent with every ounce of your power. Make a melee attack, dealing 3d8 + MOVE normal damage on a hit. This move saps you of energy, causing you to be unable to make any attack until after the end of your next turn.",3d8+Move,5d6+Move,4d12+Move,8d8+Move
Glaciate,Ice,DEX,1 action,5,Instantaneous,20ft,"You blow a wind of freezing cold air at an opponent in range. Make a ranged attack roll, dealing 1d10 + MOVE ice damage on a hit. On a hit, reduce the target's speed by 5 feet. A target reduced to a speed of 0 in this manner becomes frozen. The target may use an action at any time (before becoming frozen) to warm its body, resetting its speed.",1d10+Move,2d8+Move,5d4+Move,4d8+Move
Glare,Normal,WIS/CHA,1 action,15,Instantaneous,100ft,You stare into the depths of a creature’s eyes with intense ferocity. The creature must make a WIS saving throw against your Move DC or become paralyzed. A creature that succeeds on this saving throw is unaffected by future attempts during this combat.,,,,
Grass Knot,Grass,DEX,1 action,10,Instantaneous,30ft,"You attempt to ensnare an opponent with vines that sprout from the ground, causing it to trip. Make a ranged attack, dealing 1d10 + MOVE grass damage on a hit. If the targets size is Large or bigger, double the dice roll for the damage. On a natural attack roll of 19 or 20, the target falls prone.",1d10+Move,2d8+Move,5d4+Move,4d8+Move
Grass Pledge,Grass,STR,1 action,5,Instantaneous,40ft,"You send a column of thick grass towards an opponent. Make a ranged attack, dealing 2d6 + MOVE grass damage on a hit. After you land a hit, any ally that uses another Pledge move in the same round automatically hits.",2d6+Move,2d8+Move,4d6+Move,6d6+Move
Grass Whistle,Grass,CON/CHA,1 action,15,Instantaneous,30ft,"You attempt to put the target to sleep. The target must make a WIS save against your Move DC, falling asleep on a failure.",,,,
Grassy Terrain,Grass,None,1 action,5,3 rounds,40ft circle,"Grass sprouts from the ground in a circle around you, coating the earth with healing energy. For 3 turns, all creatures in the affected area heal for 1d4 hit points at the end of their turn. Grounded creatures are those that do not have a flying speed or Levitate, Magnet Rise, or similar ability. In addition, creatures may double their MOVE modifier on damage rolls from grass-type moves activated inside the area.",1d4,2d4,2d6,2d8
Gravity,Psychic,None,1 action,3,"1 minute, Concentration",40 foot sphere,"You strengthen gravity in a 40 foot sphere, centered on you. Any opponent in the area cannot use moves like Fly or Bounce, and the Levitate ability is suppressed.",,,,
Growl,Normal,CHA/STR,1 action,20,1 minute,100ft,"You target a creature with an intimidating growl. The creature must make a WIS save against your Move DC. On a fail, it adds -1 to any attack it makes for the duration. This modifier can be stacked if it fails multiple growl saves, up to a maximum of -5.",,,,
Growth,Normal,None,1 action,20,"1 minute, Concentration",30ft,"You increase the size of a target. When you use this move, a creature in range (or you) grows slightly larger, gaining the ability to add a d4 to any attack roll or saving throw for the duration.",1d4,1d4,1d6,1d6
Grudge,Ghost,WIS/CHA,1 reaction,3,Instantaneous,50ft,"When you take damage from a move that reduces you to zero hit points, you may use your reaction to force the attacker to make a WIS saving throw against your Move DC. On a failure, all PP from the move that caused you to faint is depleted .",,,,
Guard Split,Psychic,WIS/INT,1 action,5,"1 minute, Concentration",30ft,"You use your psychic power to change your defense to match your opponent's the best you can. Force an opponent in range to make a CHA save against your Move DC. On a failure, for the duration, your AC changes to become an average of your current AC and the opponent's, rounded down.",,,,
Guard Swap,Psychic,WIS/INT,1 action,5,"1 minute, Concentration",40ft,"You use your psychic power to swap defenses with an opponent. Force an opponent in range to make a CHA save against your Move DC. On a failure, switch armor class with the opponent for the duration.",,,,
Guillotine,Normal,None,1 action,3,Instantaneous,Melee,"You are filled with an incredible rage, grabbing the head of an enemy creature in an attempt to squeeze the life from it. Roll a d20. On a 20, you instantly cause the creature to faint. On any other roll, this move has no effect. If the target's level is 10 more than your own, this move automatically fails.",,,,
Gunk Shot,Poison,DEX,1 action,3,Instantaneous,30ft,"You fire a wad of icky gunk at an opponent. Make a ranged attack, dealing 1d10 + MOVE poison damage on a hit. On a natural attack roll of 16 or higher, the target is poisoned.",2d10+Move,3d8+Move,4d10+Move,7d8+Move
Gust,Flying,DEX,1 action,20,Instantaneous,40ft,"You create a strong wind that batters a target in range. Make a ranged attack, doing 1d6 + MOVE flying damage on a hit.",1d6+Move,1d12+Move,2d8+Move,4d6+Move
Gyro Ball,Steel,STR/DEX,1 action,3,Instantaneous,Melee,"You tackle an opponent with a high-speed spin. Make a melee attack against an opponent, dealing 1d6 + MOVE steel damage on a hit. If your DEX score is lower than the opponent's, double the dice roll for damage.",1d6+Move,1d12+Move,2d8+Move,4d6+Move
Hail,Ice,None,1 action,3,"3 rounds, Concentration",100ft,"You stir up a massive hail storm in a 30 foot radius, centered on a point in range. Any non ice-type creature in the area at the beginning of their turn take an amount of ice damage equal to their level divided by 4, rounded up. The hail storm lasts for 3 rounds.",,,,
Hammer Arm,Fighting,STR,1 action,5,Instantaneous,Melee,"You put all your power into a strong and heavy fist attack. Make a melee attack, dealing 4d4 + MOVE fighting damage on a hit. Until the beginning of your next turn, you have disadvantage on all DEX saves and your speed is halved.",4d4+Move,2d12+Move,4d8+Move,8d6+Move
Happy Hour,Normal,None,1 action,15,Instantaneous,Melee,You celebrate your impending victory with a little jig. Prize money awarded at the end of battle is doubled.,,,,
Harden,Normal,None,1 action,15,Instantaneous,Self,"You increase your defense, adding + 1 to your AC. This effect can be stacked with multiple Harden moves, to a maximum of + 5 AC. Your AC returns to normal after combat.",,,,
Haze,Ice,None,1 action,15,Instantaneous,30ft,"You create a haze of light snow that washes over the creature in a 30ft circle, centered on you. Any stat bonuses or modifiers, status effects, shields or other outside forces affecting the stats or abilities of a creature are removed. This includes things like Leech Seed, Reflect, and Light Screen.",,,,
Head Charge,Normal,STR,1 action,10,Instantaneous,Melee,"You lower your head and charge at an opponent. Make a melee attack. On a hit, you deal 2d10 + MOVE normal damage, taking a quarter of the total damage (rounded down) in recoil.",2d10+Move,3d8+Move,4d10+Move,7d8+Move
Head Smash,Rock,STR,1 action,3,Instantaneous,Melee,"You lower your head to deliver a dangerous headbutt. Make a melee attack, dealing 3d8 + MOVE rock damage on a hit. On a hit, the user takes 1/2 the damage dealt in normal-type recoil.",3d8+Move,5d6+Move,4d12+Move,8d8+Move
Headbutt,Normal,STR,1 action,10,Instantaneous,Melee,"You really know how to use your head. Make a melee attack roll, doing 1d12 + MOVE normal damage on a hit. If the natural attack roll is 18 or more, the target falls prone.",1d12+Move,2d8+Move,2d12+Move,6d6+Move
Heal Bell,Normal,None,1 action,3,Instantaneous,60ft,"You ring a bell that chimes beautifully across the battlefield. All active allied creature in a 60ft circle, centered on you, are healed of their negative status effects.",,,,
Heal Block,Psychic,None,1 reaction,3,Instantaneous,40ft,"When an opponent within range attempts to use an HP recovery move, item, or ability, you may use your reaction to send psychic waves into the mind of the target, preventing the recovery of health.",,,,
Heal Order,Bug,CON,1 action,5,Instantaneous,Self,You summon forth your underlings to heal your wounds. Regain 4d4 + MOVE hit points.,2d6+Move,3d6+Move,5d6+Move,8d6+Move
Heal Pulse,Psychic,CON/WIS,1 action,5,Instantaneous,30ft,You emit a healing pulse that restores a target's HP. Choose a target in range (cannot be yourself). The target regains 2d6 + MOVE hit points.,2d6+Move,2d8+Move,4d6+Move,6d6+Move
Healing Wish,Psychic,None,1 action,5,Instantaneous,Self,"You sacrifice yourself for another one of your trainer's Pokémon. When activating this move, the user faints, but the next creature released by its trainer is fully healed and cured of any status effects.",,,,
Heart Stamp,Psychic,WIS/CHA,1 action,15,Instantaneous,Melee,"You unleash a vicious blow after acting cute. Make a melee attack against an opponent, dealing 1d10 + MOVE psychic damage on a hit.",1d10+Move,2d8+Move,5d4+Move,4d8+Move
Heart Swap,Psychic,WIS/INT,1 action,5,Instantaneous,40ft,"Force an opponent in range to make a CHA save against your Move DC. On a failure, you employ your psychic power to swap any changes in ability modifiers, AC, attack changes, damage boosts, etc. that are currently in affect on you or the target.",,,,
Heat Crash,Fire,STR,1 action,5,Instantaneous,Melee,"You slam into an opponent with your flaming body. Make a melee attack on a target, dealing a minimum of 1d8 + MOVE fire damage on a hit. Add an additional bonus to damage equal to your MOVE modifier for each size level you are above an opponent. (Sizes, in order, are: Tiny, Small, Medium, Large, Huge, Gargantuan)",1d8+Move,2d6+Move,4d4+Move,3d10+Move
Heat Wave,Fire,DEX/CON,1 action,5,Instantaneous,15ft cone,"You exhale a wave of hot breath in a 15ft. cone. Creatures caught in the area must make a DEX save against your Move DC, taking 2d8 + MOVE fire damage on failure, or half as much on a success. If the creature fails the save by 5 or more, it is burned.",2d8+Move,2d10+Move,3d10+Move,4d12+Move
Heavy Slam,Steel,STR,1 action,5,Instantaneous,Melee,"You slam into an opponent with your heavy body. Make a melee attack on a target, dealing a minimum of 1d8 + MOVE steel damage on a hit. Add an additional bonus to damage equal to your MOVE modifier for each size level you are above an opponent. (Sizes, in order, are: Tiny, Small, Medium, Large, Huge, Gargantuan)",1d8+Move,2d6+Move,4d4+Move,3d10+Move
Helping Hand,Normal,None,1 bonus action,5,10 minutes,60ft,"You can use a bonus action on your turn to choose one ally other than yourself within 60 feet of you who can hear you. That ally can add a d6 to one ability check, attack roll, or saving throw it makes within the next 10 minutes, before the result of the roll is called by the DM. An ally being helped can only have one d6 available at a time.",d6,d8,d10,d12
Hex,Ghost,WIS,1 action,5,Instantaneous,50ft,"You send a ghostly energy at an opponent that does additional damage to those affected by status conditions. Make a ranged attack, dealing 1d10 + MOVE ghost damage on a hit. If the target is affected by a status condition, double your MOVE modifier when adding damage.",1d10+Move,2d8+Move,5d4+Move,4d8+Move
Hidden Power,Normal,Any,1 action,10,Instantaneous,30ft,"You unleash a wave of force of unknown power at a creature in range. Make a ranged attack on an opponent, doing 1d10 + MOVE damage of a random type. Roll a d12 to determine which type of damage is dealt. 

|d12|Type
|1 |Bug 
|2 |Fighting 
|3 |Fire 
|4 |Flying 
|5 |Grass 
|6 |Ground 
|7 |Electric 
|8 |Ice 
|9 |Psychic 
|10| Rock 
|11 |Steel 
|12 |Water ",1d10+Move,2d8+Move,5d4+Move,4d8+Move
High Jump Kick,Fighting,STR/DEX,1 action,5,Instantaneous,Melee,"You leap into the air to deliver a strong kick to the enemy. Make a melee attack, doing 2d8 + MOVE fighting damage on a hit. On a miss, you take 1 damage.",2d8+Move,2d10+Move,3d10+Move,4d12+Move
Hold Back,Normal,DEX,1 action,10,Instantaneous,Melee,"You lash out with force, but contain your strike to a glancing blow, leaving an opponent conscious. Make a melee attack on a target, dealing 1d6 + MOVE normal damage on a hit. This attack will always leave its target with 1 hp if it would otherwise cause the target to faint.",1d6+Move,1d12+Move,2d8+Move,4d6+Move
Hold Hands,Normal,None,1 reaction,20,Instantaneous,Melee,"If you are within melee range of an ally, you grasp its hand to spread happiness. Use this reaction when an ally is attacking to add +1 to its attack rolls, or when it is targeted by an attack to add +1 to its AC. This reaction can be used only before the result of either attack roll (by ally or opponent) is called.",,,,
Hone Claws,Dark,None,1 action,10,1 minute,Self,"You sharpen your claws to increase the power of your attacks. For the duration, add an additional +1 to your attack and damage rolls. This move may be stacked to a maximum of +3 to attack and damage rolls.",,,,
Horn Attack,Normal,STR,1 action,15,Instantaneous,Melee,"You strike at an enemy with your horn. Make a melee attack, doing 1d10 + MOVE normal damage on a hit. If you moved 20 feet or more towards an enemy on this turn, force the enemy to make a STR save against your Move DC or be knocked prone.",1d10+Move,2d8+Move,5d4+Move,4d8+Move
Horn Drill,Normal,None,1 action,3,Instantaneous,Melee,"You attempt to drill your horn through an enemy creature with tremendous strength. Roll a d20. On a 20, the creature is impaled and immediately faints. On any other roll, you miss and this move fails. If the target's level is 10 more than your own, this move automatically fails.",,,,
Horn Leech,Grass,STR/DEX,1 action,5,Instantaneous,Melee,"You sink your horns into an enemy, draining some of their power. Make a melee attack, dealing 1d12 + MOVE grass damage on a hit. Half the damage dealt is recovered by the user (rounded down).",1d12+Move,2d8+Move,2d12+Move,6d6+Move
Howl,Normal,None,1 action,20,1 minute,Self,"You increase your adrenaline with a menacing howl. For the duration, add +1 to any attack roll you make. This move can be stacked for a maximum of +5.",,,,
Hurricane,Flying,STR/DEX,1 action,5,Instantaneous,40ft,"You wrap an opponent in a fierce wind. Make a ranged attack against a target, dealing 3d6 + MOVE flying damage on a hit. If this attack is activated during rain, roll the attack with advantage. If used during harsh sunlight, roll the attack with disadvantage. If the natural attack roll is 15 or higher, the target becomes confused.",3d6+Move,3d8+Move,6d6+Move,7d8+Move
Hydro Cannon,Water,STR/DEX,"1 action, recharge",3,Instantaneous,50ft line,"You fire a powerful stream of high-speed water at opponents in a 50 foot line, 5 feet wide. Any opponent caught in the blast must make a DEX saving throw against your Move DC, taking 3d8 + MOVE water damage on a failure, and half as much on a success.. Creatures that fail the save also are pushed back 10 feet and fall prone. This move saps you of energy, and you may not make any attack until after the end of your next turn.",3d8+Move,5d6+Move,4d12+Move,8d8+Move
