Index Number,Evo Stages with Eviolite,Evo Stages w/o Eviolite,Pokémon,Type,SR,AC,Hit Dice,HP,,,WSp,Ssp,Fsp,Senses,STR,DEX,CON,INT,WIS,CHA,MIN LVL FD,Ev,Evolve,Evo Stages,ST1,ST2,ST3,Skill,Res,Vul,Imm,Ability1,Ability2,HiddenAbility,Moves,Evolution for sheet,Evolve Bonus,Climbing Speed,Burrowing Speed,Description 17
106,2,2,Hitmonlee,Fighting,7,16,10,45,,,30,,,,14,16,12,6,12,10,5,6,,2,STR,DEX,,"Athletics, Acrobatics","Bug, Dark, Rock","Fairy, Flying, Psychic",,Limber,Reckless,Unburden,"Starting Moves: Double Kick, Revenge, Reversal, Meditate, Rolling Kick
Level 6: Jump Kick, Brick Break
Level 10: Focus Energy, Feint, Foresight
Level 14: High Jump Kick, Mind Reader
Level 18: Wide Guard, Blaze Kick, Endure, Mega Kick, Close Combat

TM: 01, 06, 08, 10, 11, 17, 18, 21, 26, 27, 31, 32, 39, 42, 44, 45, 46, 47, 48, 52, 56, 71, 78, 80, 84, 87, 88, 90, 100

Abilities: Limber, Reckless
Hidden Ability: Unburden",,,,,"When kicking, the sole of its foot turns as hard as a diamond on impact and destroys its enemy."
107,2,2,Hitmonchan,Fighting,7,16,10,45,,,30,,,,16,14,12,6,12,10,5,6,,2,STR,DEX,,"Athletics, Acrobatics","Bug, Dark, Rock","Fairy, Flying, Psychic",,Keen Eye,Iron Fist,Inner Focus,"Starting Moves: Comet Punch, Pursuit, Revenge, Agility
Level 6: Bullet Punch, Mach Punch
Level 10: Feint, Vacuum Wave, Fire Punch, Ice Punch, Thunder Punch
Level 14: Quick Guard, Sky Uppercut, Mega Punch
Level 18: Detect, Focus Punch, Counter, Close Combat

TM: 01, 06, 08, 10, 11, 17, 18, 21, 26, 27, 31, 32, 39, 42, 44, 45, 46, 48, 52, 56, 71, 78, 80, 87, 88, 90, 100

Abilities: Keen Eye, Iron Fist
Hidden Ability: Inner Focus",,,,,Punches in corkscrew fashion. It can punch its way through a concrete wall like a drill.
108,1,2,Lickitung,Normal,7,14,10,70,,,30,,,,15,12,15,6,10,12,5,,,2,CON,,,Perception,None,Fighting,Ghost,Own Tempo,Oblivious,Cloud Nine,"Starting Moves: Lick, Supersonic, Defense Curl
Level 6: Knock Off, Wrap
Level 10: Stomp, Disable
Level 14: Slam, Rollout
Level 18: Chip Away, Me First, Refresh, Screech, Power Whip, Wring Out

TM: 01, 06, 10, 11, 13, 14, 15, 17, 18, 21, 22, 24, 25, 26, 27, 30, 31, 32, 35, 37, 38, 39, 42, 44, 45, 46, 48, 56, 59, 68, 75, 77, 78, 80, 82, 85, 87, 88, 90, 94, 100

Abilities: Own Tempo, Oblivious
Hidden Ability: Cloud Nine","Lickitung can evolve into Lickilicky at the time it learns 'Rollout'. When it evolves, its health increases by double its level, and it gains 12 points to add to its ability scores (max 20).",12,,,Its tongue spans almost seven feet and moves more freely than its forelegs. Its licks can cause paralysis.
109,1,2,Koffing,Poison,0.5,14,6,18,,,0,,20,,15,10,14,6,10,8,1,,Weezing,2,CON,,,Deception,"Bug, Fairy, Fighting, Grass, Poison","Ground, Psychic",,Levitate,,,"Starting Moves: Poison Gas, Tackle
Level 2: Smog, Smokescreen
Level 6: Assurance, Clear Smog, Sludge
Level 10: Self-Destruct, Haze
Level 14: Gyro Ball, Sludge Bomb
Level 18: Explosion, Destiny Bond, Memento, Belch

TM: 06, 09, 10, 11, 12, 17, 18, 21, 24, 25, 27, 30, 32, 35, 36, 38, 41, 42, 44, 45, 46, 48, 61, 64, 66, 74, 83, 87, 88, 90, 97, 100

Abilities: Levitate
","Koffing can evolve into Weezing at level 9 and above. When it evolves, its health increases by double its level, and it gains 9 points to add to its ability scores (max 20).",9,,,"In hot places, its internal gases could expand and explode without any warning. Be very careful!"
110,2,2,Weezing,Poison,10,16,10,88,,,0,,30,,16,14,18,6,12,8,8,9,,2,CON,,,Deception,"Bug, Fairy, Fighting, Grass, Poison","Ground, Psychic",,Levitate,,,"Starting Moves: Double Hit, Poison Gas, Smog, Smokescreen, Tackle, Assurance, Clear Smog, Sludge
Level 10: Self-Destruct, Haze
Level 14: Gyro Ball, Sludge Bomb
Level 18: Explosion, Destiny Bond, Memento, Belch

TM: 06, 09, 10, 11, 12, 15, 17, 18, 21, 24, 25, 27, 30, 32, 35, 36, 38, 41, 42, 44, 45, 46, 48, 61, 64, 66, 68, 74, 83, 87, 88, 90, 97, 100

Abilities: Levitate
",,,,,"This Pokémon lives and grows by absorbing poison gas, dust, and germs that exist inside garbage."
111,1,2,Rhyhorn,Ground/Rock,3,13,8,45,,,30,,,Tremorsense 40ft,15,10,14,6,10,10,1,,Rhydon,2,STR,CON,,Athletics,"Fire, Flying, Normal, Poison, Rock","Fighting, Grass, Ground, Ice, Steel, Water",Electric,Lightning Rod,Rock Head,Reckless,"Starting Moves: Horn Attack, Tail Whip
Level 2: Fury Attack, Scary Face
Level 6: Smack Down, Stomp
Level 10: Bulldoze, Chip Away, Head Smash
Level 14: Rock Blast, Drill Run, Take Down, Stone Edge,
Level 18: Earthquake, Megahorn, Horn Drill, Double-Edge

TM: 05, 06, 10, 11, 13, 14, 17, 18, 21, 23, 24, 25, 26, 27, 32, 35, 37, 38, 39, 42, 44, 45, 46, 48, 66, 67, 69, 71, 75, 78, 80, 84, 87, 88, 90, 100

Abilities: Lightning Rod, Rock Head
Hidden Ability: Reckless","Rhyhorn can evolve into Rhydon at level 11 and above. When it evolves, its health increases by double its level, and it gains 8 points to add to its ability scores (max 20).",8,,,"A Pokémon with a one-track mind. Once it charges, it won’t stop running until it falls asleep."
112,2,2,Rhydon,Ground/Rock,11,15,12,133,,,40,,,Tremorsense 60ft,18,13,17,6,12,10,10,11,,2,STR,CON,,Athletics,"Fire, Flying, Normal, Poison, Rock","Fighting, Grass, Ground, Ice, Steel, Water",Electric,Lightning Rod,Rock Head,Reckless,"Starting Moves: Fury Attack, Hammer Arm, Horn Attack, Scary Face, Tail Whip, Smack Down, Stomp, Bulldoze, Chip Away
Level 14: Rock Blast, Drill Run, Take Down, Chip Away, Head Smash
Level 18: Stone Edge, Earthquake, Megahorn, Horn Drill, Double-Edge

TM: 05, 06, 10, 11, 13, 14, 15, 17, 18, 21, 23, 24, 25, 26, 27, 31, 32, 35, 37, 38, 39, 42, 44, 45, 46, 48, 52, 56, 59, 65, 66, 67, 68, 69, 71, 75, 78, 80, 82, 84, 87, 88, 90, 94, 100

Abilities: Lightning Rod, Rock Head
Hidden Ability: Reckless","Rhydon can evolve into Rhyperior at level 16 and above while holding a Protector. When it evolves, its health increases by double its level, and it gains 8 points to add to its ability scores (max 20).",8,,,Its brain developed when it began walking on its hind legs. Its armor-like hide even repels molten lava.
113,1,3,Chansey,Normal,7,13,10,65,,,30,,,,11,10,16,6,12,16,5,,Blissey,3,WIS,CHA,,"Arcana, Medicine",None,Fighting,Ghost,Natural Cure,Serene Grace,Healer,"Starting Moves: Defense Curl, Growl, Pound, Tail Whip, Refresh
Level 6: Double Slap, Soft-Boiled
Level 10: Bestow, Minimize, Take Down
Level 14: Sing, Fling
Level 18: Heal Pulse, Egg Bomb, Light Screen, Healing Wish, Double-Edge

TM: 01, 04, 06, 07, 10, 11, 13, 14, 15, 16, 17, 18, 20, 21, 22, 24, 25, 26,27, 29, 30, 31, 32, 35, 37, 38, 39, 42, 44, 45, 48, 49, 56, 57, 68, 73, 77, 78, 80, 85, 86, 87, 88, 90, 93, 99, 100

Abilities: Natural Cure, Serene Grace
Hidden Ability: Healer","Chansey can evolve into Blissey at level 14 and above if it has a Loyalty level of +2 or higher. When it evolves, its health increases by double its level, and it gains 11 points to add to its ability scores (max 20).",11,,,A gentle and kindhearted Pokémon that shares its nutritious eggs if it sees an injured Pokémon.
114,1,2,Tangela,Grass,5,15,8,28,,,30,,,,15,14,15,6,10,10,5,,,2,CON,,,Nature,"Electric, Grass, Ground, Water","Bug, Fire, Flying, Ice, Poison",,Chlorophyll,Leaf Guard,Regenerator,"Starting Moves: Constrict, Ingrain, Sleep Powder, Vine Whip, Absorb
Level 6: Poison Powder, Bind
Level 10: Growth, Mega Drain
Level 14: Knock Off, Stun Spore, Natural Gift, Ancient Power,
Level 18: Giga Drain, Slam, Tickle, Wring Out, Power Whip, Grassy Terrain

TM: 06, 10, 11, 15, 17, 21, 22, 27, 32, 33, 36, 42, 44, 45, 46, 48, 53, 68, 75, 83, 86, 87, 88, 90, 96, 100

Abilities: Chlorophyll, Leaf Guard
Hidden Ability: Regenerator","Tangela can evolve into Tangrowth at the time it learns 'Ancient Power'. When it evolves, its health increases by double its level, and it gains 5 points to add to its ability scores (max 20).",5,,,Its identity is obscured by masses of thick blue vines. The vines are said to never stop growing.
115,1,1,Kangaskhan,Normal,10,18,10,60,,,30,,,,19,18,15,6,12,8,8,,,1,STR,CON,,"Athletics, Intimidation, Perception",None,Fighting,Ghost,Early Bird,Scrappy,Inner Focus,"Starting Moves: Comet Punch, Leer, Fake Out, Tail Whip, Bite, Double Hit
Level 10: Rage, Mega Punch
Level 14: Chip Away, Dizzy Punch, Crunch
Level 18: Endure, Outrage, Sucker Punch, Reversal

TM: 01,05, 06, 07, 10, 11, 13, 14, 15, 17, 18, 20, 21, 22, 24, 25, 26, 27, 30, 31, 32, 35, 37, 38, 39, 40, 42, 44, 45, 46, 48, 52, 56, 65, 68, 78, 80, 87, 88, 90, 94, 100

Abilities: Early Bird, Scrappy
Hidden Ability: Inner Focus",,,,,Raises its young in its belly pouch. Won’t run from any fight to keep its young protected.
116,1,3,Horsea,Water,0.5,13,6,16,,,5,30,,,11,14,10,6,10,12,1,,Seadra,3,DEX,,,Acrobatics,"Fire, Ice, Steel, Water","Electric, Grass",,Swift Swim,Sniper,Damp,"Starting Moves: Bubble
Level 2: Smokescreen, Leer
Level 6: Water Gun, Twister
Level 10: Bubble Beam, Focus Energy
Level 14: Brine, Agility
Level 18: Dragon Pulse, Dragon Dance, Hydro Pump

TM: 06, 07, 10, 13, 14, 17, 18, 21, 27, 32, 42, 44, 45, 48, 55, 87, 88, 90, 91, 94, 98, 100

Abilities: Swift Swim, Sniper
Hidden Ability: Damp","Horsea can evolve into Seadra at level 9 and above. When it evolves, its health increases by double its level, and it gains 8 points to add to its ability scores (max 20).",8,,,"If it senses any danger, it will vigorously spray water or a special type of ink from its mouth."
117,2,3,Seadra,Water,8,15,10,64,,,5,40,,,15,17,13,6,12,10,8,9,Kingdra,3,DEX,,,Acrobatics,"Fire, Ice, Steel, Water","Electric, Grass",,Poison Point,Sniper,Damp,"Starting Moves: Bubble, Hydro Pump, Leer, Smokescreen, Water Gun, Twister
Level 10: Bubble Beam, Focus Energy
Level 14: Brine
Level 18: Agility, Dragon Pulse, Dragon Dance

TM: 06, 07, 10, 13, 14, 15, 17, 18, 21, 27, 32, 42, 44, 45, 48, 55, 68, 87, 88, 90, 91, 94, 98, 100

Abilities: Poison Point, Sniper
Hidden Ability: Damp","Seadra can evolve into Kingdra at level 14 and above while holding a Dragon Scale. When it evolves, its health increases by double its level, and it gains 8 points to add to its ability scores (max 20).",8,,,Touching the back fin causes numbness. It hooks its tail to coral to stay in place while sleeping.
118,1,2,Goldeen,Water,0.25,13,6,17,,,5,30,,,11,13,12,6,10,10,1,,Seaking,2,DEX,,,Acrobatics,"Fire, Ice, Steel, Water","Electric, Grass",,Swift Swim,Water Veil,Lightning Rod,"Starting Moves: Peck, Tail Whip, Water Sport
Level 2: Supersonic, Horn Attack
Level 6: Flail, Water Pulse
Level 10: Aqua Ring, Fury Attack
Level 14: Agility, Waterfall
Level 18: Horn Drill, Soak, Megahorn

TM: 06, 07, 10, 13, 14, 17, 18, 21, 27, 32, 42, 44, 45, 48, 55, 67, 84, 87, 88, 90, 94, 98, 100

Abilities: Swift Swim, Water Veil
Hidden Ability: Lightning Rod","Goldeen can evolve into Seaking at level 9 and above. When it evolves, its health increases by double its level, and it gains 9 points to add to its ability scores (max 20).",9,,,"When it is time for them to lay eggs, they can be seen swimming up rivers and falls in large groups."
119,2,2,Seaking,Water,9,15,10,72,,,5,40,,,14,17,14,6,12,10,8,9,,2,DEX,,,Acrobatics,"Fire, Ice, Steel, Water","Electric, Grass",,Swift Swim,Water Veil,Lightning Rod,"Starting Moves: Peck, Poison Jab, Tail Whip, Water Sport, Supersonic, Horn Attack, Flail, Water Pulse
Level 10: Aqua Ring, Fury Attack
Level 14: Agility, Waterfall
Level 18: Horn Drill, Soak, Megahorn

TM: 06, 07, 10, 13, 14, 15, 17, 18, 21, 27, 32, 42, 44, 45, 48, 55, 67, 68, 84, 87, 88, 90, 94, 98, 100

Abilities: Swift Swim, Water Veil
Hidden Ability: Lightning Rod",,,,,It is the male’s job to make a nest by carving out boulders in a stream using the horn on its head.
120,1,2,Staryu,Water,0.5,14,6,16,,,20,20,,Blindsight 100ft.,10,14,11,6,12,10,1,,Starmie,2,DEX,,,Acrobatics,"Fire, Ice, Steel, Water","Electric, Grass",,Illuminate,Natural Cure,Analytic,"Starting Moves: Harden, Tackle
Level 2: Water Gun, Rapid Spin, Recover
Level 6: Psywave, Swift
Level 10: Bubble Beam, Camouflage, Gyro Ball
Level 14: Brine, Minimize, Reflect Type, Confuse Ray
Level 18: Power Gem, Psychic, Light Screen, Cosmic Power, Hydro Pump

TM: 06, 07, 10, 13, 14, 16, 17, 18, 21, 24, 25, 27, 29, 32, 33, 42, 44, 48, 55, 73, 74, 77, 87, 88, 90, 91, 94, 98, 99, 100

Abilities: Illuminate, Natural Cure
Hidden Ability: Analytic","Staryu can evolve into Starmie at level 9 and above with the help of a Water Stone. When it evolves, its health increases by double its level, and it gains 9 points to add to its ability scores (max 20).",9,,,"As long as the center section is unharmed, this Pokémon can grow back fully even if it is chopped to bits."
121,2,2,Starmie,Water/Psychic,9,17,10,64,,,30,40,,Blindsight 120ft.,14,17,13,6,14,10,8,9,,2,DEX,,,Acrobatics,"Fighting, Fire, Ice, Psychic, Steel","Bug, Dark, Electric, Ghost, Grass",,Illuminate,Natural Cure,Analytic,"Starting Moves: Hydro Pump, Rapid Spin, Recover, Spotlight, Swift, Water Gun
Level 18: Confuse Ray

TM: 03, 06, 07, 10, 13, 14, 15, 16, 17, 18, 21, 24, 25, 27, 29, 32, 33, 42, 44, 48, 55, 68, 73, 74, 77, 85, 86, 87, 88, 90, 91, 92, 94, 98, 99, 100

Abilities: Illuminate, Natural Cure
Hidden Ability: Analytic",,,,,The center section is named the core. People think it is communicating when it glows in seven colors.
122,2,2,Mr. Mime,Psychic/Fairy,8,17,8,50,,,30,,,Truesight 10ft.,12,15,8,12,14,12,5,,,2,CHA,,,Performance,"Fighting, Psychic","Ghost, Poison, Steel",Dragon,Soundproof,Filter,Technician,"Starting Moves: Barrier, Confusion, Guard Swap, Magical Leaf, Misty Terrain, Power Swap, Quick Guard, Wide Guard, Copycat, Meditate, Double Slap
Level 6: Mimic, Psywave, Encore
Level 10: Light Screen, Reflect, Psybeam
Level 14: Substitute, Recycle, Trick
Level 18: Psychic, Role Play, Baton Pass, Safeguard

TM: 03, 04, 06, 10, 11, 12, 15, 16, 17, 18, 20, 21, 22, 24, 25, 27, 29, 30, 31, 32, 33, 40, 41, 42, 44, 45, 46, 48, 52, 53, 56, 57, 66, 68, 73, 77, 83, 85, 86, 87, 88, 90, 92, 99, 100

Abilities: Soundproof, Filter
Hidden Ability: Technician",,,,,Always practicing its pantomime act. It makes enemies believe something exists that really doesn’t.
123,1,2,Scyther,Bug/Flying,8,16,10,58,,,30,,30,,17,18,12,6,10,8,5,,Scizor,2,DEX,,,Acrobatics,"Bug, Fighting, Grass","Electric, Fire, Flying, Ice, Rock",Ground,Swarm,Technician,Steadfast,"Starting Moves: Leer, Quick Attack, Vacuum Wave, Focus Energy, Pursuit
Level 6: False Swipe, Agility
Level 10: Wing Attack, Fury Cutter
Level 14: Slash, Razor Wind
Level 18: Double Team, X-Scissor, Night Slash, Double Hit, Air Slash, Swords Dance, Feint

TM: 06, 10, 11, 15, 16, 17, 18, 19, 20, 21, 27, 31, 32, 40, 42, 44, 45, 46, 48, 51, 54, 59, 68, 75, 81, 87, 88, 89, 90, 100

Abilities: Swarm, Technician
Hidden Ability: Steadfast","Scyther can evolve into Scizor at level 14 and above while holding a Metal Coat. When it evolves, its health increases by double its level, and it gains 7 points to add to its ability scores (max 20).",7,,,Leaps out of tall grass and slices prey with its scythes. The movement looks like that of a ninja.
124,2,2,Jynx,Ice/Psychic,8,15,10,62,,,30,,,,12,16,12,8,12,14,5,8,,2,CHA,,,"Deception, Insight","Ice, Psychic","Bug, Dark, Fire, Ghost, Rock, Steel",,Oblivious,Forewarn,Dry Skin,"Starting Moves: Draining Kiss, Pound, Lick, Lovely Kiss, Powder Snow
Level 6: Double Slap, Ice Punch
Level 10: Heart Stamp, Mean Look
Level 14: Fake Tears, Wake-Up Slap
Level 18: Avalanche, Body Slam, Wring Out, Perish Song, Blizzard

TM: 03, 04, 06, 07, 10, 12, 13, 14, 15, 16, 17, 18, 21, 27, 29, 30, 31, 32, 33, 41, 42, 44, 45, 46, 48, 49, 52, 53, 56, 66, 68, 70, 77, 79, 85, 86, 87, 88, 90, 92, 100

Abilities: Oblivious, Forewarn
Hidden Ability: Dry Skin",,,,,"Appears to move to a rhythm of its own, as if it were dancing. It wiggles its hips as it walks."
125,2,3,Electabuzz,Electric,9,15,10,68,,,30,,,,15,18,15,6,12,10,5,8,,3,CON,,,Athletics,"Electric, Flying, Steel",Ground,,Static,,Vital Spirit,"Starting Moves: Leer, Quick Attack, Thunder Shock, Low Kick
Level 6: Swift, Shock Wave
Level 10: Thunder Wave, Electro Ball, Light Screen
Level 14: Thunder Punch, Discharge
Level 18: Screech, Thunderbolt, Thunder

TM: 06, 10, 15, 16, 17, 18, 21, 24, 25, 27, 29, 31, 32, 42, 44, 45, 46, 47, 48, 52, 56, 57, 68, 72, 73, 87,88, 90, 93, 100

Abilities: Static
Hidden Ability: Vital Spirit","Electabuzz can evolve into Electivire at level 15 and above while holding an Electirizer. When it evolves, its health increases by double its level, and it gains 4 points to add to its ability scores (max 20).",4,,,"If a major power outage occurs, it is certain that this Pokémon has eaten electricity at a power plant."
126,2,3,Magmar,Fire,9,15,10,68,,,30,,,,15,18,15,6,12,10,5,8,,3,CON,,,Athletics,"Bug, Fairy, Fire, Grass, Ice, Steel","Ground, Rock, Water",,Flame Body,,Vital Spirit,"Starting Moves: Ember, Leer, Smog, Smokescreen
Level 6: Feint Attack, Fire Spin, Clear Smog
Level 10: Flame Burst, Confuse Ray
Level 14: Fire Punch, Sunny Day
Level 18: Lava Plume, Flamethrower, Fire Blast

TM: 06, 10, 11, 15, 17, 21, 27, 29, 31, 32, 35, 38, 42, 43, 44, 45, 46, 47, 48, 50, 52, 56, 61, 68, 87, 88, 90, 100

Abilities: Flame Body
Hidden Ability: Vital Spirit","Magmar can evolve into Magmortar at level 15 and above while holding a Magmarizer. When it evolves, its health increases by double its level, and it gains 4 points to add to its ability scores (max 20).",4,,,"Born in an active volcano. Its body is always cloaked in flames, so it looks like a big ball of fire."
127,1,1,Pinsir,Bug,9,16,10,60,,,30,,,,18,15,15,6,12,10,5,,,1,CON,,,Athletics,"Grass, Ground, Fighting","Fire, Flying, Rock",,Hyper Cutter,Mold Breaker,Moxie,"Starting Moves: Focus Energy, Vice Grip, Bind, Seismic Toss, Harden
Level 6: Revenge, Vital Throw
Level 10: Double Hit, Brick Break
Level 14: X-Scissor, Submission, Swords Dance
Level 18: Storm Throw, Thrash, Superpower, Guillotine

TM: 06, 08, 10, 11, 15, 17, 18, 21, 23, 26, 27, 31, 32, 39, 42, 44, 45, 46, 48, 52, 54, 56, 59, 68, 71, 75, 78, 80, 81, 87, 88, 90, 100

Abilities: Hyper Cutter, Mold Breaker
Hidden Ability: Moxie",,,30,,"Grips its prey in its pincers and squeezes hard! It can’t move if it’s cold out, so it lives in warm places."
128,1,1,Tauros,Normal,10,16,10,70,,,40,,,,17,18,16,8,10,8,5,,,1,STR,CON,,"Athletics, Intimidation",None,Fighting,Ghost,Intimidate,Anger Point,Sheer Force,"Starting Moves: Tackle, Tail Whip, Rage, Horn Attack, Scary Face
Level 6: Pursuit, Rest
Level 10: Payback
Level 14: Work Up, Zen Headbutt, Take Down
Level 18: Swagger, Thrash, Giga Impact

TM: 01, 06, 10, 11, 13, 14, 15, 17, 18, 21, 22, 24, 25, 26, 27, 32, 35, 37, 38, 39, 42, 44, 45, 48, 66, 67, 68, 71, 78, 80, 87, 88, 90, 93, 94, 100

Abilities: Intimidate, Anger Point
Hidden Ability: Sheer Force",,,,,"A rowdy Pokémon with a lot of stamina. Once running, it won’t stop until it hits something."
129,1,2,Magikarp,Water,0.25,12,6,17,,,5,30,,,9,14,13,6,8,10,1,,Gyarados,2,,,,,"Fire, Ice, Steel, Water","Electric, Grass",,Swift Swim,,Rattled,"Starting Moves: Splash
Level 2: Tackle
Level 6: Flail


Abilities: Swift Swim
Hidden Ability: Rattled","Magikarp can evolve into Gyarados at level 8 and above. When it evolves, its health increases by double its level, and it gains 16 points to add to its ability scores (max 20).",16,,,"Famous for being very unreliable. It can be found swimming in seas, lakes, rivers, and shallow puddles."
130,2,2,Gyarados,Water/Flying,10,16,12,80,,,30,40,30,,18,16,16,6,12,10,8,8,,2,STR,CON,,"Athletics, Intimidation","Bug, Fighting, Fire, Steel, Water","Electric, Rock",Ground,Intimidate,,Moxie,"Starting Moves: Bite, Thrash
Level 10: Leer, Twister, Ice Fang
Level 14: Aqua Tail, Scary Face, Dragon Rage, Crunch
Level 18: Hydro Pump, Dragon Dance, Hurricane, Rain Dance, Hyper Beam

TM: 05, 06, 07, 10, 12, 13, 14, 15, 17, 18, 21, 24, 25, 26, 27, 32, 35, 37, 38, 41, 42, 44, 45, 48, 55, 59, 66, 68, 71, 73, 78, 82, 87, 88, 90, 94, 97, 98, 100

Abilities: Intimidate
Hidden Ability: Moxie",,,,,Brutally vicious and enormously destructive. Known for totally destroying cities in ancient times.
131,1,1,Lapras,Water/Ice,10,16,10,70,,,10,50,,,17,14,12,6,12,14,5,,,1,DEX,CHA,,"Survival, Persuasion","Ice, Water","Electric, Fighting, Grass, Rock",,Water Absorb,Shell Armor,Hydration,"Starting Moves: Growl, Sing, Water Gun, Mist, Confuse Ray, Ice Shard
Level 6: Water Pulse, Body Slam
Level 10: Rain Dance, Perish Song
Level 14: Ice Beam
Level 18: Brine, Safeguard, Hydro Pump, Sheer Cold

TM: 05, 06, 07, 10, 13, 14, 15, 17, 18, 20, 21, 24, 25, 27, 29, 32, 42, 44, 45, 48, 49, 67, 68, 78, 79, 85, 87, 88, 90, 94, 98, 100

Abilities: Water Absorb, Shell Armor
Hidden Ability: Hydration",,,,,A gentle soul that can understand human speech. It can ferry people across the sea on its back.
132,1,1,Ditto,Normal,3,13,8,40,,,20,,,Truesight 20ft.,12,12,12,8,12,12,1,,,1,CON,,,"Deception, Insight",None,Fighting,Ghost,Limber,,Imposter,"Starting Moves: Transform


Abilities: Limber
Hidden Ability: Imposter",,,,,"When it spots an enemy, its body transfigures into an almost-perfect copy of its opponent."
133,1,2,Eevee,Normal,0.5,13,6,16,,,30,,,,13,13,10,6,10,12,1,,Vaporeon,2,DEX,CHA,,"Perception, Investigation",None,Fighting,Ghost,Run Away,Adaptability,Anticipation,"Starting Moves: Covet, Growl, Helping Hand, Tackle, Tail Whip
Level 2: Sand Attack, Baby-Doll Eyes, Quick Attack
Level 6: Bite, Swift
Level 10: Refresh, Take Down
Level 14: Charm, Baton Pass
Level 18: Double-Edge, Last Resort, Trump Card

TM: 01, 06, 10, 11, 17, 18, 21, 27, 30, 32, 42, 44, 45, 48, 49, 87, 88, 90, 100

Abilities: Run Away, Adaptability
Hidden Ability: Anticipation","Starting at level 8, Eeevee can evolve into Vaporeon with a Water Stone, Jolteon with a Thunder Stone, Flareon with a Fire Stone, Leafeon with a Mossy Rock, Glaceon with an Icy Rock, Espeon during the day with a Loyalty level of +2 or higher, Umbreon at night with a Loyalty level of +2 or higher, or Sylveon at any time with a Loyalty level of +2 or higher if it knows a fairy-type move. When it evolves, its health increases by double its level, and it gains 14 points to add to its ability scores (max 20).",14,,,It can evolve into a variety of forms. Eevee’s genes are the key to solving the mysteries of Pokémon evolution.
134,2,2,Vaporeon,Water,8,15,10,55,,,30,40,,,15,15,16,6,12,14,5,8,,2,DEX,CHA,,"Perception, Investigation","Fire, Ice, Steel, Water","Electric, Grass",,Water Absorb,,Hydration,"Starting Moves: Helping Hand, Tackle, Tail Whip, Water Gun, Sand Attack, Baby-Doll Eyes
Level 6: Quick Attack, Water Pulse
Level 10: Aurora Beam, Aqua Ring
Level 14: Acid Armor, Haze
Level 18: Muddy Water, Last Resort, Hydro Pump

TM: 01, 05, 06, 07, 10, 11, 13, 14, 15, 17, 18, 21, 27, 30, 32, 42, 44, 45, 48, 49, 55, 68, 87, 88, 90, 94, 98, 100

Abilities: Water Absorb
Hidden Ability: Hydration",,,,,Its cell structure is similar to water molecules. It melts into the water and becomes invisible.
135,2,2,Jolteon,Electric,8,16,10,45,,,40,,,,15,18,13,6,12,14,5,8,,2,DEX,CHA,,"Perception, Investigation","Electric, Flying, Steel",Ground,,Volt Absorb,,Quick Feet,"Starting Moves: Helping Hand, Tackle, Tail Whip, Thunder Shock, Sand Attack, Baby-Doll Eyes
Level 6: Quick Attack, Double Kick
Level 10: Thunder Fang, Pin Missile
Level 14: Agility, Thunder Wave
Level 18: Discharge, Last Resort, Thunder

TM: 01, 05, 06, 10, 11, 15, 16, 17, 18, 21, 24, 25, 27, 30, 32, 42, 44, 44, 45, 48, 49, 57, 68, 72, 73, 87, 88, 90, 93, 100

Abilities: Volt Absorb
Hidden Ability: Quick Feet",,,,,"A sensitive Pokémon that easily becomes sad or angry. Every time its mood changes, it charges power."
136,2,2,Flareon,Fire,8,16,10,45,,,40,,,,18,15,13,6,12,14,5,8,,2,DEX,CHA,,"Perception, Investigation","Bug, Fairy, Fire, Grass, Ice, Steel","Ground, Rock, Water",,Flash Fire,,Guts,"Starting Moves: Ember, Helping Hand, Tackle, Tail Whip, Sand Attack, Baby-Doll Eyes
Level 6: Quick Attack, Bite
Level 10: Fire Fang, Fire Spin
Level 14: Scary Face
Level 18: Smog, Lava Plume, Last Resort, Flare Blitz

TM: 01, 05, 06, 10, 11, 15, 17, 18, 21, 27, 30, 32, 35, 38, 42, 43, 44, 45, 48, 49, 50, 61, 68, 87, 88, 90, 100

Abilities: Flash Fire
Hidden Ability: Guts",,,,,"It has a flame chamber inside its body. It inhales, then breathes out fire that is over 3,000 degrees Fahrenheit."
137,1,3,Porygon,Normal,6,14,8,35,,,20,,20,,15,12,16,6,12,12,5,,Porygon2,3,CON,,,History,None,Fighting,Ghost,Trace,Download,Analytic,"Starting Moves: Conversion, Conversion 2, Sharpen, Tackle, Psybeam
Level 6: Agility, Recover
Level 10: Magnet Rise
Level 14: Signal Beam, Recycle, Discharge, Lock-On
Level 18: Tri Attack, Magic Coat, Zap Cannon

TM: 03, 06, 10, 11, 13, 14, 15, 17, 18, 21, 22, 24, 25, 27, 29, 30, 32, 40, 42, 44, 46, 48, 57, 68, 73, 77, 85, 87, 88, 90, 92, 100

Abilities: Trace, Download
Hidden Ability: Analytic","Porygon can evolve into Porygon2 at level 9 and above while holding an Upgrade. When it evolves, its health increases by double its level, and it gains 8 points to add to its ability scores (max 20).",8,,,"The only Pokémon that people anticipate can fly into space. None has managed the feat yet, however."
